protein	count
Q8IYD1	5
P46937	3
Q9NXG2	2
Q07889	1
O00148	5
Q9Y3L3	3
Q8NBT2	4
O75663	1
Q5JTH9	3
Q9H479	7
Q9Y678	4
Q14141	10
P34932	10
Q9BZD4	3
NM_003915_1	2
Q9Y285	4
Q96C23	3
Q01831	2
Q00535	11
O43852	2
Q7Z3B4	2
Q969T7	1
Q7L9L4	14
Q9Y4C1	1
P48556	9
Q15102	12
Q14232	4
Q7L014	14
Q16666	4
Q9BZ29	1
Q9UK76	11
O95777	2
Q03001	1
Q86TU7	3
O00267	4
Q13123	2
P35527	4
P61158	8
P51003	1
Q9P2J5	10
Q9BYB4	6
O75436	5
P62854	2
P78347	5
Q9Y237	3
Q53H82	3
Q9Y5T5	1
O00232	5
P00519	4
Q13356	1
Q92925	4
Q9H267	1
P61204	5
P62244	10
Q86UE8	3
Q9Y224	9
Q149N8	1
O43809	13
Q14847	29
P83916	1
O14972	1
O15446	2
P32969	1
Q8IXQ4	3
P55036	2
Q9NQR4	2
P62312	2
P62158	12
O75150	9
P40227	13
Q9UBP6	1
Q5SY16	3
Q96GG9	2
Q8IX12	9
P21283	4
P53004	6
Q8IX18	2
Q9BUL8	4
Q13148	5
P62249	15
Q86U44	3
Q9P013	3
O76075	1
Q5QJ74	1
P20810	11
Q7Z2T5	1
Q5VZK9	4
Q9NQ88	3
Q9NSD9	4
P00374	2
Q6KC79	5
Q9UHJ6	3
