protein	count
P51610	3
P16403	3
Q08170	10
P16152	1
Q99733	7
Q96PU8	1
Q12906	5
Q9Y314	3
P61289	21
Q27J81	1
Q93074	3
Q9Y5B8	2
Q92522	2
P53350	2
Q8IX18	3
Q92797	3
P78527	6
Q68CP9	3
Q96CT7	1
Q9NR45	1
P62753	5
Q5SSJ5	3
Q8IUF8	2
Q9NUQ3	2
O60828	4
Q9NZL9	1
Q96B36	3
P68036	2
Q9UI30	7
Q6PID6	2
Q15459	8
Q01664	6
Q96JP5	2
Q96D46	2
Q00610	23
P30154	5
P40121	3
O60841	7
Q7L2H7	4
P48507	10
Q13309	1
Q12874	8
Q9Y2B0	2
O43663	1
P56545	18
O43242	10
P32119	8
O60264	5
Q9NTZ6	6
Q96EV2	3
O14908	1
Q15645	2
O95487	2
P61981	7
Q9BZH6	4
Q9NYF8	2
O43583	2
Q9Y6G9	5
Q9H4Z3	1
O60832	4
Q9NRL2	2
P84103	14
Q8TAT6	2
Q9NY33	1
Q14738	1
O75083	18
O43913	2
O75676	2
Q53FA7	1
P46109	1
P00492	11
P12429	4
P46783	4
O60244	2
P61081	9
Q9NXG2	1
P49840	2
P31431	1
P34931	1
P61163	3
Q9UL46	5
Q8N6T7	3
Q9UK76	3
Q13868	2
Q15233	7
Q9UHI6	2
Q9C0I1	1
O14777	1
Q15024	4
P98179	1
O94776	22
Q9H3Q1	1
Q8WUM4	5
P52272	8
O95067	2
Q7RTV0	1
P42285	7
Q6PCB5	1
P05114	3
P78406	3
Q9NS91	2
Q92973	3
P47914	2
Q09472	1
O95983	10
P60842	5
Q15185	9
ALDOA_RABIT	6
Q9UN86	6
P50454	4
P09132	1
O00233	1
Q92621	2
P51003	4
P47756	2
O15144	6
P30085	2
Q9Y4L1	2
Q96EK9	1
A6NMY6	11
NM_001025204_1	1
Q6FI81	2
Q9P289	1
Q9UNZ2	3
P06744	2
Q15545	1
Q13601	1
Q8TDX7	1
P43686	2
P48729	2
Q9H788	2
P78417	1
P23193	2
Q9P021	1
K1C9_HUMAN	10
O75116	2
Q6L8Q7	1
O60678	1
P61457	1
Q8NE71	3
Q3LXA3	1
Q9UHD8	3
Q12965	1
Q96FQ6	2
Q15181	2
Q8WX93	4
O43422	2
O14818	6
P10809	3
P14618	8
Q07955	16
P09496	2
O95347	12
P08243	10
Q7Z4S6	2
O60443	1
P17987	7
Q14566	2
Q8TED0	1
Q13573	2
P25787	6
O14757	1
Q16543	7
Q96ST2	1
P36507	5
O95373	13
Q9BR76	2
P04406	25
O00410	5
P61956	2
Q9BZL1	4
O15305	1
Q92547	2
Q9Y6D5	1
P35520	3
Q8WUA2	4
P19623	1
P78330	2
Q96SY0	3
Q9BWJ5	3
Q6KC79	3
Q9NRZ9	2
Q9UNP9	2
Q08211	3
P31153	4
P08779	2
P35244	1
