protein	count
Q9NRN7	12
P84085	3
O95340	5
Q9H8H2	1
Q9BV57	1
Q96QG7	1
P28715	3
A6NKT7; O14715; P49792; Q7Z3J3; Q99666	14
O15083; Q8IUD2	1
P17844	59
Q5THK1	1
Q9Y2B0	7
P51532	69
P05109	6
Q9C037	3
P68363; P68366; Q13748; Q6PEY2; Q71U36; Q9BQE3; Q9NY65	46
P61326; Q96A72	7
P27348; P31946; P63104	1
NM_001008401_6	1
P55786	12
Q8WWM7	1
Q96FZ2	6
P16070	3
P25205; P33992	1
P18846	3
Q9H5V9	4
Q9Y5T4	1
NM_005721_1	1
O60739; P41567	12
Q92598	42
Q8WZ82	13
Q96SY0	10
P62873; P62879; Q9HAV0	5
A8MTJ3; NM_001077490_1; P04899; P08754; P09471; P11488; P19087; P38405; P63092; P63096; Q03113; Q14344; Q5JWF2	3
Q9H0E2	2
Q13131	2
P67775	4
P07900; P08238; Q14568; Q58FF7; Q58FF8	4
O15511	3
Q96S55	1
P00374	4
P22234	93
P11277; Q01082	3
NM_139014_1; Q16539	2
Q9UHD8	22
Q6P2Q9	262
P39880; Q13948	1
Q7L2H7	14
P02545	155
Q9BT78	15
Q9H0G5	4
Q96JP5	7
P25054	1
Q9UNN5	5
P11474	9
Q9NUQ3	12
Q9NU22	1
P50613	4
NM_001114123_1	1
Q7Z333	1
P58107; Q15149	8
Q96IZ0	6
P27348	82
P50570; Q9UQ16	12
P09429; P23497	5
Q9Y2H1	1
Q9BTT4	1
O43447	7
Q92785	18
Q9NVE7	1
Q13492	8
Q15691	12
P07477; TRY1_BOVIN	1
Q9NZ63	4
Q9Y2W2	53
P35269	58
P15374	3
Q8TAG9	4
Q15084	38
P54278	3
Q13442	4
P80723	102
Q15437	16
Q13310	9
Q92616	198
P59817	1
Q96J01	8
O95163	7
P00491	28
Q14847	13
Q9BS26	2
NM_005885_1	1
O95197	18
P07900; P08238; Q14568; Q58FF8	25
P01889; P01891; P03989; P10316; P16190; P18462; P18463; P18464; P30450; P30453; P30457; P30460; P30461; P30462; P30464; P30466; P30475; P30479; P30480; P30481; P30483; P30484; P30485; P30486; P30487; P30488; P30490; P30491; P30493; P30495; P30498; P30685; Q04826; Q29718; Q29836; Q29940; Q31610; Q31612; Q95365	1
Q96HC4	17
P25788	17
P31151	2
Q9Y657	1
O95619	2
Q96MW1	2
P05455	34
Q96DE0; Q9BRJ7	1
P45983; P45984; P53779	2
Q13098	8
P19793; P28702; P48443	4
Q8N1F7	8
O43719	57
P15259; P18669	30
Q9UKK3	17
NM_005184_3	2
NM_001048210_2; NM_015127_2	1
NM_198576_3	1
Q8TCY9	2
Q6P1Q9	1
Q9UKI8	1
A3KN83; Q9Y2G9	3
P17858	10
P07900; P08238	6
P08107; P17066; P34931; P48741	57
Q92796	4
Q13112	15
P30419	28
P68371	5
BID_HUMAN; P55957	2
P04259	1
Q9BRX5	3
P00558	66
Q15942	19
P61026	2
Q13888; Q6P1K8	10
P62424	6
Q92979	7
Q9Y620	4
P42898; Q7L014	13
Q92766	1
Q7Z5L9; Q9H1B7	8
O43396	11
A6NDU8	2
Q96EB6	7
Q9Y294	1
O94973; O95782	1
P36871	13
P33993	30
Q9Y3C6	2
Q9Y5A7	6
Q99759	1
O15397	5
P04264	14
Q14232	2
Q92945	75
P35606	10
O43395	14
P62851	12
P31483; Q01085	3
P05023	4
Q9Y6I4	9
P24468	1
Q9NR50	6
NM_032983_2; P42575	3
Q9UKL0	2
P18827	2
Q7L576; Q96F07	9
Q7Z572	1
P20810	31
P23246	69
P98179	4
Q13029	1
P49840	6
Q9NWA0	1
P28702	3
P38159; Q96E39	3
Q6FIF0	2
Q14203	25
P28340	23
Q8TF05	2
Q567U6	1
Q86V81	9
P11142; P54652	200
Q9P253	4
O75817	3
NM_199184_2; O43598	1
Q9UBQ0	9
O95059	2
P07741	9
Q6P1N9	2
Q8IXH7	24
Q9Y6D9	3
P46939	1
Q15056	14
Q96C86	2
P49327	119
P30622; Q9UDT6	3
Q96D46	11
Q9BQL6	4
Q13287	7
Q9HCS7	35
Q9UNP9	8
XM_001723152_3; XM_001725060_3; XM_001726701_3	1
Q13363	50
O96019	30
O75390	1
O00522	5
P07814	53
P31948	237
O15294	25
P30101	35
P17081; P60953; XM_002342247_1; XM_002345583_2	4
P62330	10
Q09161	17
P48200	11
P25208	1
Q13427	1
P51965; Q969T4; Q96LR5; UB2E1_HUMAN	2
P62158	10
O14929	6
Q96PU4; Q96T88	4
Q8WXA3; Q9UKV3	4
Q92879	1
Q16763	3
P08238; Q58FF8	9
Q06323	17
Q9BZV1	5
Q96PV6	1
P62917	5
NM_020770_1	1
Q9Y5V0	1
P23258; Q9NRH3	13
P23919	10
Q13596	3
P36405	2
P10586	12
P42330; P51857; Q04828	1
P78347	150
Q4V328	2
P49848	20
P61011	1
P00519	4
Q9BXP5	100
Q14687	1
Q6ZNL6	1
Q8NF64; Q9ULJ6	1
P29353; P98077	1
O95486	14
P49841	12
Q14160	1
P52306	1
P46734	3
Q6SPF0	1
Q99961	6
Q9NX01	1
P31327	2
Q9Y5Y2	7
O00712; P08651; Q12857; Q14938	2
Q15785	10
NM_058195_1; NM_058197_3; NM_078487_1; P42771; P42772	2
Q96EK4	1
P63241; Q6IS14	16
Q9UGJ1	6
Q9Y6E2	10
Q8TB03	1
P24666	14
P56192	40
Q8WTS6	1
Q8WXI9	49
Q93009	97
Q9NUQ8	7
Q9UJX3	102
P06737; P11217	4
Q96DR7	1
Q9UHD1	1
Q9HCN4	1
Q9UKK9	4
NM_001135101_2; NM_024324_2	1
Q99547	1
O43847	5
NM_175063_3; NM_206538_3	2
K1H1_HUMAN; K1HA_HUMAN; O76009; Q15323	1
Q9NVS9	3
ANXA5_HUMAN; P08758	9
P63173	1
P09429	13
P61604	4
P14866	19
P29466	2
Q92995	1
P17987	54
P55010	22
P31943; P55795	74
P61106	14
A6NCN2; K2M3_SHEEP; KRHB3_HUMAN; KRHB5_HUMAN; P78385; P78386	1
